prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon
Negros Occidental,2027,29.397258758544922,32.48777770996094,35.30908203125,2028
Negros Occidental,2028,29.369348526000977,32.565635681152344,35.39461135864258,2028
Negros Oriental,2023,23.898813247680664,26.107149124145508,27.799057006835938,2028
Negros Oriental,2024,23.852188110351562,26.64373207092285,28.980384826660156,2028
Negros Oriental,2025,23.85228157043457,27.182626724243164,30.267942428588867,2028
Negros Oriental,2026,23.97532844543457,27.733922958374023,31.44130516052246,2028
Negros Oriental,2027,24.271320343017578,28.34898567199707,32.440650939941406,2028
Negros Oriental,2028,24.67415428161621,28.984407424926758,33.24647521972656,2028
North Cotabato,2023,19.42423439025879,21.632564544677734,24.76244354248047,2028
North Cotabato,2024,19.40871238708496,22.14112091064453,25.882305145263672,2028
North Cotabato,2025,19.5362606048584,22.74823570251465,26.963306427001953,2028
North Cotabato,2026,19.69803810119629,23.22198486328125,27.731121063232422,2028
North Cotabato,2027,19.83087921142578,23.563329696655273,28.266769409179688,2028
North Cotabato,2028,19.933631896972656,23.81974983215332,28.660539627075195,2028
Northern Samar,2023,27.767066955566406,28.581035614013672,29.732627868652344,2028
Northern Samar,2024,27.703500747680664,28.65544891357422,29.978073120117188,2028
Northern Samar,2025,27.690675735473633,28.757617950439453,30.219697952270508,2028
Northern Samar,2026,27.680213928222656,28.82468032836914,30.35952377319336,2028
Northern Samar,2027,27.6650447845459,28.863847732543945,30.435161590576172,2028
Northern Samar,2028,27.648048400878906,28.88800621032715,30.478431701660156,2028
Nueva Ecija,2023,38.85737228393555,40.77993392944336,43.30734634399414,2028
Nueva Ecija,2024,39.39875411987305,41.702816009521484,44.39993667602539,2028
Nueva Ecija,2025,39.56037902832031,42.05251693725586,44.72037124633789,2028
Nueva Ecija,2026,39.588478088378906,42.18758773803711,44.80372619628906,2028
Nueva Ecija,2027,39.57912826538086,42.251548767089844,44.82183837890625,2028
Nueva Ecija,2028,39.55940628051758,42.28908920288086,44.820316314697266,2028
Nueva Vizcaya,2023,18.21556854248047,21.52426528930664,25.73773956298828,2028
Nueva Vizcaya,2024,18.893081665039062,22.982654571533203,27.248165130615234,2028
Nueva Vizcaya,2025,19.109086990356445,23.61086654663086,27.829261779785156,2028
Nueva Vizcaya,2026,19.177932739257812,23.863489151000977,28.10747718811035,2028
Nueva Vizcaya,2027,19.211814880371094,24.013824462890625,28.307838439941406,2028
Nueva Vizcaya,2028,19.23165512084961,24.127174377441406,28.463232040405273,2028
Occidental Mindoro,2023,20.569509506225586,24.229604721069336,28.85202407836914,2028
Occidental Mindoro,2024,21.47895050048828,26.562875747680664,31.483417510986328,2028
Occidental Mindoro,2025,21.707311630249023,27.49129867553711,32.75724792480469,2028
Occidental Mindoro,2026,21.758949279785156,27.922258377075195,33.41959762573242,2028
Occidental Mindoro,2027,21.754653930664062,28.166828155517578,33.79442596435547,2028
Occidental Mindoro,2028,21.73123550415039,28.3327693939209,34.03398895263672,2028
Oriental Mindoro,2023,19.278820037841797,23.345417022705078,28.382986068725586,2028
