prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon,risk_tier,pi_width,dynasty_share_2022,delta_from_2022,trajectory
Apayao,2024,25.492481231689453,28.180864334106445,31.48179817199707,2028,Low Risk,5.989316940307617,29.629629135131836,-1.4487648010253906,Stable
Apayao,2025,25.56854248046875,28.42911720275879,32.087974548339844,2028,Low Risk,6.519432067871094,29.629629135131836,-1.2005119323730469,Stable
Apayao,2026,25.650470733642575,28.651050567626953,32.55192184448242,2028,Low Risk,6.901451110839847,29.629629135131836,-0.9785785675048828,Stable
Apayao,2027,25.6768856048584,28.7401123046875,32.81824493408203,2028,Low Risk,7.141359329223633,29.629629135131836,-0.8895168304443359,Stable
Apayao,2028,25.669586181640625,28.74273109436035,32.9608154296875,2028,Low Risk,7.291229248046875,29.629629135131836,-0.8868980407714844,Stable
Aurora,2023,21.029373168945312,32.1891975402832,42.73911666870117,2028,Low Risk,21.70974349975586,37.36263656616211,-5.173439025878906,Decreasing
Aurora,2024,21.144014358520508,32.47494125366211,43.894920349121094,2028,Low Risk,22.750905990600582,37.36263656616211,-4.8876953125,Decreasing
Aurora,2025,21.05999755859375,32.494144439697266,44.51570129394531,2028,Low Risk,23.45570373535156,37.36263656616211,-4.868492126464844,Decreasing
Aurora,2026,20.87215805053711,32.32963943481445,44.740501403808594,2028,Low Risk,23.868343353271484,37.36263656616211,-5.032997131347656,Decreasing
Aurora,2027,20.675493240356445,32.10139846801758,44.792510986328125,2028,Low Risk,24.11701774597168,37.36263656616211,-5.261238098144531,Decreasing
Aurora,2028,20.517274856567383,31.88494873046875,44.79130554199219,2028,Low Risk,24.274030685424805,37.36263656616211,-5.477687835693359,Decreasing
Basilan,2023,30.933122634887695,37.978759765625,47.38970947265625,2028,Moderate Risk,16.456586837768555,33.10344696044922,4.875312805175781,Increasing
Basilan,2024,27.228988647460938,32.68575668334961,40.26313781738281,2028,Low Risk,13.034149169921877,33.10344696044922,-0.4176902770996094,Stable
Basilan,2025,26.034236907958984,31.327720642089844,39.053741455078125,2028,Low Risk,13.01950454711914,33.10344696044922,-1.775726318359375,Stable
Basilan,2026,25.216251373291016,30.372100830078125,38.21864318847656,2028,Low Risk,13.002391815185549,33.10344696044922,-2.7313461303710938,Decreasing
Basilan,2027,24.726634979248047,29.78104782104492,37.76870346069336,2028,Low Risk,13.042068481445312,33.10344696044922,-3.3223991394043004,Decreasing
Basilan,2028,24.4350528717041,29.408432006835938,37.527923583984375,2028,Low Risk,13.092870712280272,33.10344696044922,-3.6950149536132817,Decreasing
Bataan,2023,28.33891487121582,30.710845947265625,32.70917892456055,2028,Low Risk,4.370264053344727,32.84671401977539,-2.1358680725097656,Decreasing
Bataan,2024,28.272085189819336,30.717071533203125,33.032928466796875,2028,Low Risk,4.760843276977539,32.84671401977539,-2.1296424865722656,Decreasing
Bataan,2025,28.115036010742188,30.620092391967773,33.1871452331543,2028,Low Risk,5.072109222412109,32.84671401977539,-2.226621627807617,Decreasing
Bataan,2026,27.977991104125977,30.508861541748047,33.269290924072266,2028,Low Risk,5.291299819946289,32.84671401977539,-2.337852478027344,Decreasing
Bataan,2027,27.8835506439209,30.41255569458008,33.321327209472656,2028,Low Risk,5.437776565551758,32.84671401977539,-2.434158325195309,Decreasing
Bataan,2028,27.823097229003903,30.334054946899418,33.35398864746094,2028,Low Risk,5.530891418457035,32.84671401977539,-2.512659072875973,Decreasing
Batanes,2023,26.195911407470703,28.45272445678711,31.19614028930664,2028,Low Risk,5.0002288818359375,27.536231994628903,0.9164924621582068,Stable
Batanes,2024,26.86908912658691,29.340538024902344,32.395687103271484,2028,Low Risk,5.526597976684574,27.536231994628903,1.804306030273441,Stable
Batanes,2025,27.17832374572754,29.76069450378418,32.99089431762695,2028,Low Risk,5.812570571899414,27.536231994628903,2.224462509155277,Increasing
Batanes,2026,27.23550796508789,29.846773147583008,33.23388671875,2028,Low Risk,5.998378753662109,27.536231994628903,2.310541152954105,Increasing
Batanes,2027,27.21965217590332,29.819499969482425,33.35374069213867,2028,Low Risk,6.134088516235352,27.536231994628903,2.2832679748535227,Increasing
Batanes,2028,27.19460105895996,29.76490592956543,33.42966079711914,2028,Low Risk,6.23505973815918,27.536231994628903,2.228673934936527,Increasing
Batangas,2023,34.87514114379883,37.77534866333008,40.69070053100586,2028,Moderate Risk,5.815559387207031,39.51612854003906,-1.7407798767089844,Stable
Batangas,2024,34.570552825927734,37.63973236083984,41.137916564941406,2028,Moderate Risk,6.567363739013672,39.51612854003906,-1.876396179199226,Stable
Batangas,2025,35.26301956176758,38.79697036743164,42.94024658203125,2028,Moderate Risk,7.677227020263672,39.51612854003906,-0.7191581726074219,Stable
Batangas,2026,36.33564376831055,40.31905746459961,44.78972625732422,2028,Moderate Risk,8.454082489013672,39.51612854003906,0.8029289245605469,Stable
Batangas,2027,36.963279724121094,41.12166595458984,45.64017105102539,2028,Moderate Risk,8.676891326904297,39.51612854003906,1.605537414550774,Stable
Batangas,2028,37.161502838134766,41.34052276611328,45.87092971801758,2028,Moderate Risk,8.709426879882812,39.51612854003906,1.8243942260742188,Stable
Benguet,2023,2.93587875366211,5.289795875549316,8.662702560424805,2028,Low Risk,5.726823806762695,4.430379867553711,0.8594160079956055,Stable
Benguet,2024,2.830612897872925,4.980862617492676,8.530515670776367,2028,Low Risk,5.699902772903442,4.430379867553711,0.5504827499389648,Stable
Benguet,2025,3.0132110118865967,5.345020771026611,9.372275352478027,2028,Low Risk,6.359064340591431,4.430379867553711,0.9146409034729004,Stable
Benguet,2026,3.4866182804107666,6.2702717781066895,10.897127151489258,2028,Low Risk,7.410508871078491,4.430379867553711,1.8398919105529783,Stable
Benguet,2027,4.091519832611084,7.282711982727051,12.26950454711914,2028,Low Risk,8.177984714508057,4.430379867553711,2.85233211517334,Increasing
Benguet,2028,4.473740100860596,7.846819877624512,12.938777923583984,2028,Low Risk,8.465037822723389,4.430379867553711,3.416440010070801,Increasing
Biliran,2023,19.281383514404297,21.696306228637695,24.71864128112793,2028,Low Risk,5.437257766723633,21.9780216217041,-0.2817153930664062,Stable
Biliran,2024,19.25848960876465,21.579681396484375,25.034677505493164,2028,Low Risk,5.776187896728516,21.9780216217041,-0.3983402252197265,Stable
Biliran,2025,19.992816925048828,22.61602020263672,26.558629989624023,2028,Low Risk,6.565813064575195,21.9780216217041,0.6379985809326172,Stable
Biliran,2026,21.014341354370117,24.009626388549805,28.167972564697266,2028,Low Risk,7.153631210327148,21.9780216217041,2.031604766845703,Increasing
Biliran,2027,21.67288589477539,24.82701873779297,28.99187660217285,2028,Low Risk,7.318990707397461,21.9780216217041,2.848997116088867,Increasing
Biliran,2028,21.92337989807129,25.096500396728516,29.247682571411133,2028,Low Risk,7.324302673339844,21.9780216217041,3.118478775024414,Increasing
Bohol,2023,28.125947952270508,28.821338653564453,29.90003967285156,2028,Low Risk,1.7740917205810511,28.16901397705078,0.6523246765136719,Stable
Bohol,2024,28.304227828979492,29.1480712890625,30.426074981689453,2028,Low Risk,2.121847152709961,28.16901397705078,0.9790573120117188,Stable
Bohol,2025,28.5053653717041,29.47989273071289,30.872861862182617,2028,Low Risk,2.3674964904785156,28.16901397705078,1.3108787536621094,Stable
Bohol,2026,28.583940505981445,29.59989356994629,31.02290153503418,2028,Low Risk,2.4389610290527344,28.16901397705078,1.4308795928955078,Stable
Bohol,2027,28.59964370727539,29.62019920349121,31.05255126953125,2028,Low Risk,2.4529075622558594,28.16901397705078,1.4511852264404297,Stable
Bohol,2028,28.59819984436035,29.611392974853516,31.05037498474121,2028,Low Risk,2.4521751403808594,28.16901397705078,1.4423789978027344,Stable
Bukidnon,2023,20.07874298095703,23.02841567993164,26.208881378173828,2028,Low Risk,6.130138397216797,24.58333396911621,-1.5549182891845703,Stable
Bukidnon,2024,20.127552032470703,23.521259307861328,27.522735595703125,2028,Low Risk,7.395183563232422,24.58333396911621,-1.0620746612548828,Stable
Bukidnon,2025,19.92049789428711,23.71593856811523,28.37082862854004,2028,Low Risk,8.45033073425293,24.58333396911621,-0.8673954010009801,Stable
Bukidnon,2026,19.713085174560547,23.797439575195312,28.938756942749023,2028,Low Risk,9.225671768188477,24.58333396911621,-0.7858943939208984,Stable
Bukidnon,2027,19.555084228515625,23.81442070007324,29.300609588623047,2028,Low Risk,9.745525360107422,24.58333396911621,-0.7689132690429723,Stable
Bukidnon,2028,19.439395904541016,23.797508239746097,29.527488708496097,2028,Low Risk,10.088092803955082,24.58333396911621,-0.7858257293701136,Stable
Bulacan,2023,41.653839111328125,44.31386184692383,46.58970642089844,2028,Moderate Risk,4.9358673095703125,41.63568878173828,2.678173065185547,Increasing
Bulacan,2024,41.372188568115234,44.06779098510742,46.779685974121094,2028,Moderate Risk,5.407497406005859,41.63568878173828,2.4321022033691406,Increasing
Bulacan,2025,41.55353546142578,44.544620513916016,47.87727737426758,2028,Moderate Risk,6.323741912841797,41.63568878173828,2.9089317321777344,Increasing
Bulacan,2026,42.17376327514648,45.61970901489258,49.59768295288086,2028,Moderate Risk,7.423919677734382,41.63568878173828,3.984020233154297,Increasing
Bulacan,2027,42.9163932800293,46.71647262573242,51.04058837890625,2028,Moderate Risk,8.124195098876953,41.63568878173828,5.080783843994141,Increasing
Bulacan,2028,43.307823181152344,47.24505615234375,51.66524124145508,2028,Moderate Risk,8.357418060302734,41.63568878173828,5.609367370605469,Increasing
Cagayan,2023,28.48131942749023,29.978527069091797,31.50817108154297,2028,Low Risk,3.026851654052738,31.391586303710938,-1.4130592346191406,Stable
Cagayan,2024,28.3565731048584,29.8704891204834,31.635007858276367,2028,Low Risk,3.2784347534179688,31.391586303710938,-1.521097183227539,Stable
