prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon,risk_tier,pi_width,dynasty_share_2022,delta_from_2022,trajectory
Bataan,2025,31.736568450927734,34.64393615722656,38.9990348815918,2028,Moderate Risk,7.2624664306640625,32.84671401977539,1.7972221374511719,Stable
Bataan,2026,32.44045639038086,35.77932357788086,40.48274612426758,2028,Moderate Risk,8.042289733886719,32.84671401977539,2.9326095581054688,Increasing
Bataan,2027,33.02544021606445,36.68400573730469,41.598899841308594,2028,Moderate Risk,8.57345962524414,32.84671401977539,3.837291717529297,Increasing
Bataan,2028,33.39665985107422,37.28080749511719,42.324440002441406,2028,Moderate Risk,8.927780151367188,32.84671401977539,4.434093475341797,Increasing
Batanes,2023,29.01768493652344,30.814632415771484,33.6151237487793,2028,Low Risk,4.597438812255856,27.536231994628903,3.2784004211425817,Increasing
Batanes,2024,27.99483871459961,29.987119674682617,32.576297760009766,2028,Low Risk,4.581459045410156,27.536231994628903,2.4508876800537145,Increasing
Batanes,2025,27.06561279296875,29.18183135986328,31.583740234375,2028,Low Risk,4.51812744140625,27.536231994628903,1.6455993652343786,Stable
Batanes,2026,27.078813552856445,29.35268211364746,31.829607009887695,2028,Low Risk,4.75079345703125,27.536231994628903,1.8164501190185582,Stable
Batanes,2027,27.28992462158203,29.924545288085938,32.94256591796875,2028,Low Risk,5.652641296386719,27.536231994628903,2.388313293457035,Increasing
Batanes,2028,28.22386360168457,31.482812881469727,35.38875961303711,2028,Low Risk,7.164896011352539,27.536231994628903,3.946580886840824,Increasing
Batangas,2023,35.86604309082031,37.50511932373047,40.325164794921875,2028,Moderate Risk,4.4591217041015625,39.51612854003906,-2.0110092163085938,Decreasing
Batangas,2024,35.718055725097656,37.59239959716797,40.47214126586914,2028,Moderate Risk,4.754085540771484,39.51612854003906,-1.9237289428710938,Stable
Batangas,2025,36.37994766235352,38.58160781860352,41.613643646240234,2028,Moderate Risk,5.233695983886712,39.51612854003906,-0.9345207214355398,Stable
Batangas,2026,37.86384201049805,40.48079681396485,43.724098205566406,2028,Moderate Risk,5.860256195068359,39.51612854003906,0.9646682739257884,Stable
Batangas,2027,40.95043182373047,44.456336975097656,49.74827194213867,2028,Moderate Risk,8.797840118408203,39.51612854003906,4.940208435058594,Increasing
Batangas,2028,41.96830749511719,45.62296676635742,50.89002990722656,2028,Moderate Risk,8.921722412109375,39.51612854003906,6.106838226318359,Increasing
Benguet,2023,4.762960433959961,6.062292575836182,8.13249683380127,2028,Low Risk,3.3695363998413086,4.430379867553711,1.6319127082824707,Stable
Benguet,2024,4.597168445587158,6.144148349761963,8.461369514465332,2028,Low Risk,3.864201068878174,4.430379867553711,1.713768482208252,Stable
Benguet,2025,5.0501017570495605,7.003640174865723,9.891578674316406,2028,Low Risk,4.841476917266846,4.430379867553711,2.5732603073120117,Increasing
Benguet,2026,6.93351936340332,9.850052833557127,14.447094917297363,2028,Low Risk,7.513575553894043,4.430379867553711,5.419672966003416,Increasing
Benguet,2027,9.968114852905272,13.597614288330078,19.265674591064453,2028,Low Risk,9.297559738159181,4.430379867553711,9.167234420776367,Increasing
Benguet,2028,11.406049728393556,15.247243881225586,21.02550506591797,2028,Low Risk,9.619455337524412,4.430379867553711,10.816864013671875,Increasing
Biliran,2023,19.091238021850582,20.553932189941406,23.87023544311523,2028,Low Risk,4.778997421264648,21.9780216217041,-1.4240894317626953,Stable
