prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon
Davao Del Sur,2024,22.660354614257812,25.742712020874023,28.567726135253906,2028
Davao Del Sur,2025,23.777889251708984,27.31714630126953,30.61235809326172,2028
Davao Del Sur,2026,24.139972686767578,27.601409912109375,31.048599243164062,2028
Davao Del Sur,2027,24.220481872558594,27.597938537597656,31.148807525634766,2028
Davao Del Sur,2028,24.213973999023438,27.540494918823242,31.166454315185547,2028
Davao Occidental,2023,22.981586456298828,25.42007827758789,28.231897354125977,2028
Davao Occidental,2024,22.490764617919922,25.031675338745117,27.980236053466797,2028
Davao Occidental,2025,22.144445419311523,24.725666046142578,27.74446678161621,2028
Davao Occidental,2026,21.997251510620117,24.571746826171875,27.611465454101562,2028
Davao Occidental,2027,21.95595932006836,24.50453758239746,27.540428161621094,2028
Davao Occidental,2028,21.946420669555664,24.467369079589844,27.491178512573242,2028
Davao Oriental,2023,19.951457977294922,21.60497283935547,25.34380340576172,2028
Davao Oriental,2024,21.049720764160156,23.776094436645508,28.590944290161133,2028
Davao Oriental,2025,21.837024688720703,25.210166931152344,30.832225799560547,2028
Davao Oriental,2026,22.107234954833984,25.97403335571289,32.22821044921875,2028
Davao Oriental,2027,22.091083526611328,26.34166717529297,33.06817626953125,2028
Davao Oriental,2028,21.94760513305664,26.480411529541016,33.529850006103516,2028
Dinagat Islands,2023,17.469650268554688,21.02786636352539,27.18088150024414,2028
Dinagat Islands,2024,19.945194244384766,26.9349365234375,35.46577453613281,2028
Dinagat Islands,2025,31.982524871826172,42.813560485839844,53.45117950439453,2028
Dinagat Islands,2026,35.28002166748047,44.32155990600586,53.94286346435547,2028
Dinagat Islands,2027,35.85765075683594,44.36507797241211,53.61125946044922,2028
Dinagat Islands,2028,35.926544189453125,44.39341735839844,53.59341812133789,2028
Eastern Samar,2023,29.797142028808594,31.692378997802734,34.25056838989258,2028
Eastern Samar,2024,30.4527530670166,33.32252883911133,36.719879150390625,2028
Eastern Samar,2025,31.42087173461914,34.935020446777344,39.050045013427734,2028
Eastern Samar,2026,32.022300720214844,35.958316802978516,40.66738510131836,2028
Eastern Samar,2027,32.3598747253418,36.63188552856445,41.887054443359375,2028
Eastern Samar,2028,32.536556243896484,37.088497161865234,42.81864929199219,2028
Guimaras,2023,30.202762603759766,32.05903625488281,35.41969299316406,2028
Guimaras,2024,29.585237503051758,31.86151695251465,35.74705505371094,2028
Guimaras,2025,29.196426391601562,31.928142547607422,36.453369140625,2028
Guimaras,2026,29.03902244567871,32.2291374206543,37.41999435424805,2028
Guimaras,2027,29.07610321044922,32.658443450927734,38.45269775390625,2028
Guimaras,2028,29.234634399414062,33.10371398925781,39.389793395996094,2028
Ifugao,2023,13.15721321105957,16.384695053100586,21.173351287841797,2028
Ifugao,2024,16.41697883605957,20.46270751953125,25.641416549682617,2028
Ifugao,2025,17.762678146362305,21.540021896362305,26.30703353881836,2028
Ifugao,2026,17.921127319335938,21.639179229736328,26.267810821533203,2028
Ifugao,2027,17.829010009765625,21.56090545654297,26.16031837463379,2028
Ifugao,2028,17.682907104492188,21.44061851501465,26.05203628540039,2028
Ilocos Norte,2023,34.63307189941406,36.52729797363281,40.34278106689453,2028
Ilocos Norte,2024,36.495574951171875,39.88987731933594,44.210418701171875,2028
Ilocos Norte,2025,40.29205322265625,44.621639251708984,48.80740737915039,2028
Ilocos Norte,2026,41.23857498168945,45.484580993652344,49.597023010253906,2028
Ilocos Norte,2027,41.48210906982422,45.82524108886719,50.03065490722656,2028
Ilocos Norte,2028,41.55952835083008,46.03999710083008,50.35735321044922,2028
Ilocos Sur,2023,27.645158767700195,28.787609100341797,30.904592514038086,2028
Ilocos Sur,2024,28.106359481811523,29.827972412109375,32.37782287597656,2028
Ilocos Sur,2025,28.55455780029297,30.666990280151367,33.66213607788086,2028
Ilocos Sur,2026,28.756702423095703,31.170028686523438,34.590797424316406,2028
Ilocos Sur,2027,28.843900680541992,31.511856079101562,35.32288360595703,2028
Ilocos Sur,2028,28.868896484375,31.746665954589844,35.88456726074219,2028
Iloilo,2023,27.74001693725586,29.42803955078125,32.22785568237305,2028
Iloilo,2024,27.702911376953125,29.831687927246094,33.0938606262207,2028
Iloilo,2025,27.69743537902832,30.15324592590332,33.85609436035156,2028
Iloilo,2026,27.705177307128906,30.393348693847656,34.44520568847656,2028
Iloilo,2027,27.68975830078125,30.559406280517578,34.877784729003906,2028
Iloilo,2028,27.641145706176758,30.666046142578125,35.19260025024414,2028
Isabela,2023,44.147247314453125,45.710655212402344,48.03940200805664,2028
Isabela,2024,43.967735290527344,45.99934768676758,48.64719009399414,2028
Isabela,2025,44.062808990478516,46.52510452270508,49.55611038208008,2028
Isabela,2026,44.2515983581543,47.06548309326172,50.45557403564453,2028
Isabela,2027,44.36626434326172,47.44513702392578,51.121456146240234,2028
Isabela,2028,44.38225555419922,47.657012939453125,51.531410217285156,2028
Kalinga,2023,6.84028959274292,11.587678909301758,18.053977966308594,2028
Kalinga,2024,9.01291561126709,14.494209289550781,21.852249145507812,2028
Kalinga,2025,10.323526382446289,16.037918090820312,23.8969669342041,2028
Kalinga,2026,10.981399536132812,16.879318237304688,25.07134246826172,2028
Kalinga,2027,11.385896682739258,17.41265106201172,25.824111938476562,2028
Kalinga,2028,11.601354598999023,17.692874908447266,26.2388916015625,2028
La Union,2023,30.887184143066406,32.40935516357422,34.610198974609375,2028
La Union,2024,30.48769187927246,32.33940505981445,35.021263122558594,2028
La Union,2025,30.283723831176758,32.51921081542969,35.72303771972656,2028
La Union,2026,30.342605590820312,32.878562927246094,36.49153137207031,2028
La Union,2027,30.57357406616211,33.29304504394531,37.169437408447266,2028
La Union,2028,30.856666564941406,33.67967224121094,37.72769546508789,2028
Laguna,2023,23.737773895263672,26.81281280517578,30.461612701416016,2028
Laguna,2024,23.323833465576172,26.49295425415039,30.26593017578125,2028
Laguna,2025,22.928232192993164,26.182092666625977,30.047588348388672,2028
Laguna,2026,22.6119384765625,25.91999626159668,29.841129302978516,2028
Laguna,2027,22.38060760498047,25.71512222290039,29.664371490478516,2028
Laguna,2028,22.213117599487305,25.557052612304688,29.51903533935547,2028
Lanao Del Norte,2023,22.90504264831543,24.390520095825195,26.455364227294922,2028
Lanao Del Norte,2024,23.223541259765625,24.895435333251953,26.878915786743164,2028
Lanao Del Norte,2025,23.3295955657959,25.081769943237305,27.09455108642578,2028
Lanao Del Norte,2026,23.361026763916016,25.15437889099121,27.196758270263672,2028
Lanao Del Norte,2027,23.33152198791504,25.158544540405273,27.23382568359375,2028
Lanao Del Norte,2028,23.28727912902832,25.15418243408203,27.27648162841797,2028
Lanao Del Sur,2023,40.563575744628906,42.34565353393555,46.37802505493164,2028
Lanao Del Sur,2024,40.17945861816406,42.38547134399414,46.86201095581055,2028
Lanao Del Sur,2025,40.01369857788086,42.55522155761719,47.529300689697266,2028
Lanao Del Sur,2026,39.918907165527344,42.77766799926758,48.224002838134766,2028
Lanao Del Sur,2027,39.830013275146484,42.99231719970703,48.85346221923828,2028
Lanao Del Sur,2028,39.734336853027344,43.176422119140625,49.385345458984375,2028
Leyte,2023,25.360557556152344,27.08944320678711,29.28419303894043,2028
Leyte,2024,25.18619155883789,26.94569969177246,29.19622039794922,2028
Leyte,2025,25.02499008178711,26.8175048828125,29.103515625,2028
Leyte,2026,24.891830444335938,26.711589813232422,29.015155792236328,2028
Leyte,2027,24.784343719482422,26.625274658203125,28.934921264648438,2028
Leyte,2028,24.69431495666504,26.552459716796875,28.86318016052246,2028
Maguindanao,2023,47.043975830078125,49.530738830566406,53.165077209472656,2028
Maguindanao,2024,47.210567474365234,50.22796630859375,54.18830871582031,2028
Maguindanao,2025,47.30302429199219,50.6114616394043,54.810386657714844,2028
